Posicao,acao,PL,cotacao,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PACL,EVEBIT,EVEBITDA,MrgEbit,MrgLiq,LiqCorr,ROIC,ROE,Liq2meses,PatLiq,DivBrutPat,Cresc5anos
256,MDNE3,7.92,5.93,0.48,0.714,0.00,0.216,0.93,5.56,-1.73,5.53,5.28,0.1283,0.096,2.20,0.0419,0.0608,2591430.00,1045450000.00,0.12,-0.033
257,ITSA4,7.93,10.53,1.45,11.946,0.0298,1.117,15.79,72.83,-21.39,74.13,47.00,0.164,1.6184,2.16,0.017,0.1827,421190000.00,61112000000.00,0.13,0.0904
258,UNIP3,7.95,81.00,3.86,1.591,0.0902,1.559,6.32,5.02,-11.66,4.81,4.25,0.317,0.2024,2.17,0.4315,0.4858,2818060.00,1981560000.00,0.39,0.1953
259,BRSR5,8.05,17.60,0.83,0.000,0.0706,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1034,1050.14,8652150000.00,0.00,0.1019
260,CURY3,8.06,6.79,3.66,1.356,0.058,0.975,2.66,5.99,5.97,5.32,5.25,0.2264,0.1796,1.80,0.2284,0.4544,8485530.00,541253000.00,0.50,0.00
261,ABCB4,8.09,15.75,0.80,0.000,0.0631,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0987,16913300.00,4459170000.00,0.00,0.152
262,SANB3,8.10,16.42,1.55,0.000,0.0667,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1917,605026.00,79338900000.00,0.00,0.0642
263,LOGG3,8.10,22.82,0.72,15.946,0.0143,0.499,4.30,21.35,-4.76,26.56,26.37,0.747,2.0771,2.47,0.0255,0.0886,13002200.00,3247870000.00,0.28,0.1174
264,TEND3,8.15,16.64,1.17,0.657,0.0209,0.392,0.98,4.39,-9.95,4.86,4.49,0.1498,0.08,2.80,0.1156,0.1431,27271200.00,1489400000.00,0.76,0.2067
265,MOAR3,8.23,437.00,3.70,48.761,0.0331,2.402,13.07,-145.89,-32.42,-141.68,-144.92,-0.3342,5.9249,2.98,-0.022,0.4494,1244910.00,1447570000.00,0.28,0.7657
266,ITUB3,8.32,21.24,1.53,0.000,0.033,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1841,54365200.00,136042000000.00,0.00,-0.2812
267,POMO3,8.32,2.41,0.85,0.647,0.0373,0.368,1.59,29.58,-7.10,43.59,18.60,0.0219,0.075,1.84,0.0163,0.1022,801007.00,2682500000.00,0.80,0.0616
268,CAML3,8.40,9.75,1.33,0.435,0.0657,0.539,1.29,6.15,8.93,8.49,6.64,0.0707,0.0517,2.74,0.1307,0.1588,15185100.00,2703230000.00,1.01,0.2397
269,BEES4,8.41,5.89,1.04,0.000,0.0469,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.124,38852.30,1784820000.00,0.00,0.0546
270,NUTR3,8.54,253.00,1.73,0.321,0.00,0.447,1.29,8.39,-2.91,10.12,8.97,0.0383,0.0376,2.45,0.0617,0.2031,588.37,18676000.00,0.42,0.3063
